clientId,flancerId,rating,projectSkills,projectType
CL449,FL253,2,"['proofreading', 'nlp', 'indesign', 'civil-engineering', 'aws']",Migrating legacy systems to AWS cloud infrastructure.
CL1642,FL969,2,"['resume-writing', 'civil-engineering', 'php', 'etl']",Implementing CI/CD pipelines for enterprise web applications.
CL1524,FL3179,2,"['c#', 'nlp', 'angular', 'creative-writing', 'email-marketing']",Implementing CI/CD pipelines for enterprise web applications.
CL563,FL8160,3,"['kubernetes', 'quickbooks']",Implementing CI/CD pipelines for enterprise web applications.
CL688,FL5491,2,"['ruby', 'php']",Building a secure mobile banking app for Android and iOS.
CL785,FL6580,3,"['crm-support', 'kubernetes', 'logo-design']",Migrating legacy systems to AWS cloud infrastructure.
CL1112,FL5479,5,"['figma', 'market-research', 'ui-ux', 'chatbot', 'ocr']",Implementing CI/CD pipelines for enterprise web applications.
CL780,FL3857,4,"['autocad', 'civil-engineering']",Implementing CI/CD pipelines for enterprise web applications.
CL1748,FL4861,4,"['editing', 'angular', 'data-annotation']",Implementing CI/CD pipelines for enterprise web applications.
CL995,FL2632,4,"['c++', 'go', 'market-research', 'revit']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1884,FL8779,1,"['payroll', 'prompt-engineering']",Migrating legacy systems to AWS cloud infrastructure.
CL1317,FL8835,3,"['video-editing', 'smm', 'pytorch']",Implementing CI/CD pipelines for enterprise web applications.
CL777,FL4661,4,"['keras', 'nlp', 'branding']",Building an NLP-based resume screening tool for HR automation.
CL570,FL2054,5,"['solidworks', 'angular', 'python']",Implementing CI/CD pipelines for enterprise web applications.
CL107,FL4588,1,"['speech-recognition', 'indesign', 'spark']",Building a secure mobile banking app for Android and iOS.
CL1945,FL2772,2,"['python', 'pytorch', 'lead-generation']",Migrating legacy systems to AWS cloud infrastructure.
CL970,FL9742,3,"['machine-learning', 'copywriting', 'ppc']",Developing a scalable e-commerce platform with integrated payment gateways.
CL344,FL931,1,"['devops', 'linux']",Designing RESTful APIs and microservices for SaaS solutions.
CL1186,FL178,5,"['data-entry', 'live-chat-support', 'machine-learning', 'bookkeeping']",Providing virtual assistant services including calendar and email management.
CL1415,FL137,5,"['azure', 'affiliate-marketing']",Migrating legacy systems to AWS cloud infrastructure.
CL1650,FL4224,3,"['machine-learning', 'live-chat-support']",Developing a scalable e-commerce platform with integrated payment gateways.
CL142,FL8539,4,"['translation', 'figma', 'prompt-engineering', 'tax-preparation']",Designing RESTful APIs and microservices for SaaS solutions.
CL1968,FL1058,2,"['storyboarding', 'speech-recognition', 'technical-writing']",Building a secure mobile banking app for Android and iOS.
CL1503,FL8902,4,"['proofreading', 'keras', 'nosql']",Implementing AI-driven recommendation engines for e-commerce.
CL1692,FL266,4,"['live-chat-support', 'localization', 'bookkeeping', 'logo-design']",Designing RESTful APIs and microservices for SaaS solutions.
CL500,FL1996,2,"['ruby', 'copywriting', 'excel', 'docker']",Implementing CI/CD pipelines for enterprise web applications.
CL999,FL4624,5,"['civil-engineering', 'affiliate-marketing', 'logo-design', 'adobe-xd']",Migrating legacy systems to AWS cloud infrastructure.
CL21,FL7330,4,"['speech-recognition', 'sql', 'excel']",Designing RESTful APIs and microservices for SaaS solutions.
CL1138,FL2871,1,"['html', 'tax-preparation', 'indesign', 'deep-learning', 'aws']",Migrating legacy systems to AWS cloud infrastructure.
CL603,FL6838,5,"['technical-writing', 'go', 'quickbooks', 'html']",Migrating legacy systems to AWS cloud infrastructure.
CL1088,FL3776,3,"['figma', 'css', 'blog-writing', 'gcp', 'virtual-assistant']",Building a secure mobile banking app for Android and iOS.
CL515,FL8723,1,"['node', 'financial-analysis']",Migrating legacy systems to AWS cloud infrastructure.
CL1522,FL6591,3,"['ruby', 'financial-analysis', 'branding']",Designing RESTful APIs and microservices for SaaS solutions.
CL1484,FL9443,3,"['cv', 'linux', 'c++', 'animation']",Designing RESTful APIs and microservices for SaaS solutions.
CL368,FL1218,1,"['gcp', 'css']",Building a secure mobile banking app for Android and iOS.
CL1996,FL8274,1,"['azure', 'php', 'payroll', 'crm']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1176,FL4144,3,"['bookkeeping', 'aws', 'adobe-xd', 'translation', 'editing']",Building a secure mobile banking app for Android and iOS.
CL1928,FL9433,4,"['etl', 'figma']",Implementing CI/CD pipelines for enterprise web applications.
CL152,FL2160,5,"['aws', 'nlp']",Designing RESTful APIs and microservices for SaaS solutions.
CL1944,FL8254,5,"['machine-learning', 'solidworks']",Building a secure mobile banking app for Android and iOS.
CL1566,FL2684,4,"['storyboarding', 'node', 'market-research']",Implementing CI/CD pipelines for enterprise web applications.
CL609,FL1364,1,"['mechanical-engineering', 'aws', 'php', 'data-entry', 'financial-analysis']",Designing RESTful APIs and microservices for SaaS solutions.
CL1941,FL3412,2,"['quickbooks', 'photoshop', 'pytorch']",Developing computer vision models for automated quality inspection.
CL356,FL5963,4,"['excel', 'smm']",Designing RESTful APIs and microservices for SaaS solutions.
CL923,FL2262,3,"['3d-modeling', 'localization', 'mechanical-engineering', 'bash', 'pytorch']",Designing RESTful APIs and microservices for SaaS solutions.
CL1440,FL6579,3,"['payroll', 'go']",Implementing CI/CD pipelines for enterprise web applications.
CL1614,FL5308,2,"['live-chat-support', 'speech-recognition', 'creative-writing']",Designing RESTful APIs and microservices for SaaS solutions.
CL1861,FL6647,3,"['keras', 'creative-writing', 'video-editing']",Building an NLP-based resume screening tool for HR automation.
CL1219,FL9947,4,"['node', 'chatbot', 'resume-writing', 'storyboarding']",Designing RESTful APIs and microservices for SaaS solutions.
CL1931,FL3036,4,"['rust', 'quickbooks', 'storyboarding']",Building a secure mobile banking app for Android and iOS.
CL1505,FL5773,3,"['blog-writing', 'kubernetes', 'calendar-management', 'css']",Building a secure mobile banking app for Android and iOS.
CL1181,FL7911,3,"['seo', 'proofreading', 'kubernetes']",Developing a scalable e-commerce platform with integrated payment gateways.
CL372,FL3668,4,"['spark', 'flask', 'quickbooks', 'seo', 'storyboarding']",Designing RESTful APIs and microservices for SaaS solutions.
CL683,FL6450,3,"['rust', 'photoshop']",Building a secure mobile banking app for Android and iOS.
CL844,FL5971,3,"['order-processing', 'ppc', 'data-annotation', 'virtual-assistant']",Implementing CI/CD pipelines for enterprise web applications.
CL517,FL1749,1,"['docker', '3d-modeling']",Building a secure mobile banking app for Android and iOS.
CL1347,FL4781,5,"['calendar-management', 'proofreading', 'bash']",Designing RESTful APIs and microservices for SaaS solutions.
CL741,FL9711,5,"['branding', 'aws', 'html', 'creative-writing', 'bim']",Designing RESTful APIs and microservices for SaaS solutions.
CL269,FL4577,1,"['java', 'grant-writing', 'mechanical-engineering']",Building a secure mobile banking app for Android and iOS.
CL1994,FL145,5,"['solidworks', 'keras', 'editing']",Designing RESTful APIs and microservices for SaaS solutions.
CL29,FL9879,4,"['customer-support', 'typescript', 'translation']",Designing RESTful APIs and microservices for SaaS solutions.
CL1940,FL4311,4,"['llm', 'adobe-xd', 'payroll']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1710,FL1418,4,"['html', 'financial-analysis', 'chatbot']",Implementing CI/CD pipelines for enterprise web applications.
CL391,FL4190,4,"['video-editing', 'pytorch', 'proofreading']",Designing RESTful APIs and microservices for SaaS solutions.
CL697,FL3173,2,"['azure', 'market-research', 'video-editing', 'node']",Designing RESTful APIs and microservices for SaaS solutions.
CL915,FL4261,2,"['civil-engineering', 'affiliate-marketing', 'javascript', 'nlp', 'docker']",Designing RESTful APIs and microservices for SaaS solutions.
CL1429,FL4696,4,"['resume-writing', 'django', 'technical-writing', 'email-marketing', 'bash']",Migrating legacy systems to AWS cloud infrastructure.
CL1445,FL6506,1,"['linux', 'video-editing', 'java']",Implementing CI/CD pipelines for enterprise web applications.
CL259,FL6628,1,"['prompt-engineering', 'flask', 'copywriting', 'deep-learning']",Designing RESTful APIs and microservices for SaaS solutions.
CL1480,FL3341,3,"['virtual-assistant', 'bash', 'seo', 'resume-writing']",Migrating legacy systems to AWS cloud infrastructure.
CL1277,FL5432,5,"['c#', 'linux']",Implementing CI/CD pipelines for enterprise web applications.
CL779,FL1697,3,"['video-editing', 'aws', 'nlp', 'node', 'speech-recognition']",Building a secure mobile banking app for Android and iOS.
CL466,FL5093,1,"['typescript', 'nosql', 'javascript', 'branding', 'deep-learning']",Developing a scalable e-commerce platform with integrated payment gateways.
CL95,FL6261,3,"['adobe-xd', 'copywriting']",Building a secure mobile banking app for Android and iOS.
CL883,FL5699,2,"['grant-writing', 'storyboarding', 'excel']",Migrating legacy systems to AWS cloud infrastructure.
CL359,FL635,4,"['data-annotation', 'gcp', '3d-rendering', 'adobe-xd', 'payroll']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1307,FL5283,3,"['translation', 'affiliate-marketing', 'sql', 'c++']",Building a secure mobile banking app for Android and iOS.
CL1388,FL8565,5,"['tax-preparation', 'python', 'customer-support']",Designing RESTful APIs and microservices for SaaS solutions.
CL613,FL2802,4,"['devops', 'ui-ux', 'quickbooks', 'crm-support']",Implementing CI/CD pipelines for enterprise web applications.
CL219,FL3317,1,"['javascript', 'rust', 'figma', 'keras']",Migrating legacy systems to AWS cloud infrastructure.
CL1700,FL6836,3,"['cv', 'quickbooks', 'pytorch', 'keras']",Training deep learning models for medical image classification.
CL1589,FL3612,2,"['order-processing', 'calendar-management', 'tax-preparation']",Migrating legacy systems to AWS cloud infrastructure.
CL1287,FL434,1,"['content-marketing', 'bookkeeping']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1187,FL3219,4,"['translation', 'linux', 'flask']",Building a secure mobile banking app for Android and iOS.
CL360,FL6325,2,"['smm', 'linux', 'solidworks']",Migrating legacy systems to AWS cloud infrastructure.
CL527,FL530,4,"['ruby', 'localization', 'linux']",Implementing CI/CD pipelines for enterprise web applications.
CL1973,FL4667,5,"['technical-writing', 'financial-analysis', 'java']",Developing a scalable e-commerce platform with integrated payment gateways.
CL750,FL4193,3,"['ruby', 'keras', 'php', 'seo', 'kubernetes']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1378,FL5548,4,"['html', 'etl', 'docker', 'pytorch', 'go']",Building a secure mobile banking app for Android and iOS.
CL52,FL5246,4,"['proofreading', 'spark', 'css']",Designing RESTful APIs and microservices for SaaS solutions.
CL1863,FL7068,4,"['gcp', 'docker', 'kubernetes', 'nlp', 'customer-support']",Building a secure mobile banking app for Android and iOS.
CL238,FL7033,4,"['tensorflow', 'proofreading', 'autocad']",Creating a generative AI-powered chatbot for customer support.
CL760,FL1599,4,"['nosql', 'grant-writing', 'deep-learning', 'illustrator', 'email-marketing']",Designing RESTful APIs and microservices for SaaS solutions.
CL1261,FL142,4,"['order-processing', 'deep-learning', 'solidworks', 'angular']",Implementing CI/CD pipelines for enterprise web applications.
CL911,FL7923,1,"['docker', 'technical-writing', 'machine-learning', 'azure']",Migrating legacy systems to AWS cloud infrastructure.
CL816,FL8970,2,"['calendar-management', 'kubernetes', 'translation']",Building a secure mobile banking app for Android and iOS.
CL1315,FL6704,2,"['nosql', 'spark']",Designing RESTful APIs and microservices for SaaS solutions.
CL258,FL8138,5,"['payroll', 'flask', 'ui-ux']",Designing RESTful APIs and microservices for SaaS solutions.
CL443,FL2761,2,"['javascript', '3d-modeling', 'order-processing']",Migrating legacy systems to AWS cloud infrastructure.
CL267,FL1640,2,"['gcp', 'order-processing', 'c#', 'php']",Designing RESTful APIs and microservices for SaaS solutions.
CL31,FL2548,2,"['lead-generation', '3d-rendering', 'css']",Building a secure mobile banking app for Android and iOS.
CL544,FL2648,1,"['c++', 'copywriting', 'nosql']",Developing a scalable e-commerce platform with integrated payment gateways.
CL976,FL6809,5,"['react', 'excel', 'editing', 'typescript']",Implementing CI/CD pipelines for enterprise web applications.
CL454,FL4712,3,"['devops', 'mechanical-engineering']",Designing RESTful APIs and microservices for SaaS solutions.
CL939,FL8470,4,"['revit', 'civil-engineering']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1406,FL2806,1,"['mechanical-engineering', 'indesign', 'technical-writing']",Developing a scalable e-commerce platform with integrated payment gateways.
CL660,FL3281,5,"['proofreading', 'prompt-engineering', 'rust']",Designing RESTful APIs and microservices for SaaS solutions.
CL1297,FL9728,5,"['cv', 'translation', 'keras']",Designing RESTful APIs and microservices for SaaS solutions.
CL1240,FL5042,5,"['market-research', 'prompt-engineering']",Implementing CI/CD pipelines for enterprise web applications.
CL1477,FL2701,4,"['mechanical-engineering', 'animation', 'azure', 'lead-generation', 'resume-writing']",Migrating legacy systems to AWS cloud infrastructure.
CL852,FL2025,3,"['css', 'lead-generation', 'figma']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1953,FL6671,1,"['php', 'financial-analysis', 'swift']",Migrating legacy systems to AWS cloud infrastructure.
CL885,FL9173,5,"['photoshop', 'lead-generation', 'ppc', 'civil-engineering']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1960,FL1465,1,"['llm', 'email-marketing', 'docker', 'blog-writing']",Designing RESTful APIs and microservices for SaaS solutions.
CL1984,FL9091,2,"['swift', 'grant-writing', 'react', 'azure']",Building a secure mobile banking app for Android and iOS.
CL1345,FL2742,1,"['civil-engineering', 'django', 'swift']",Implementing CI/CD pipelines for enterprise web applications.
CL1562,FL9584,1,"['branding', 'swift', 'creative-writing']",Building a secure mobile banking app for Android and iOS.
CL370,FL478,2,"['lead-generation', 'illustrator', 'mechanical-engineering', 'technical-writing']",Building a secure mobile banking app for Android and iOS.
CL1160,FL5740,1,"['go', 'civil-engineering']",Implementing CI/CD pipelines for enterprise web applications.
CL188,FL1716,3,"['3d-rendering', 'react', 'swift']",Designing RESTful APIs and microservices for SaaS solutions.
CL323,FL1816,1,"['c#', 'crm', 'virtual-assistant', 'react']",Building a secure mobile banking app for Android and iOS.
CL319,FL8737,4,"['bash', 'ppc']",Migrating legacy systems to AWS cloud infrastructure.
CL1356,FL5009,5,"['ocr', 'c++', 'civil-engineering', 'calendar-management', 'email-marketing']",Implementing CI/CD pipelines for enterprise web applications.
CL234,FL3821,5,"['indesign', 'figma', 'linux']",Building a secure mobile banking app for Android and iOS.
CL1367,FL2244,5,"['smm', 'mechanical-engineering']",Building a secure mobile banking app for Android and iOS.
CL113,FL8842,3,"['aws', 'illustrator', 'cv']",Developing a scalable e-commerce platform with integrated payment gateways.
CL593,FL2322,4,"['affiliate-marketing', '3d-rendering']",Building a secure mobile banking app for Android and iOS.
CL360,FL6518,1,"['nlp', 'photoshop', 'bookkeeping']",Developing computer vision models for automated quality inspection.
CL814,FL698,5,"['gcp', 'translation', 'speech-recognition', 'order-processing', 'proofreading']",Developing a scalable e-commerce platform with integrated payment gateways.
CL829,FL2151,2,"['etl', 'nosql', 'indesign', 'rust']",Implementing CI/CD pipelines for enterprise web applications.
CL1642,FL9659,1,"['blog-writing', 'php', 'ruby', 'bookkeeping', 'market-research']",Designing RESTful APIs and microservices for SaaS solutions.
CL499,FL6500,2,"['rust', 'branding', 'sql', '3d-modeling', 'grant-writing']",Implementing CI/CD pipelines for enterprise web applications.
CL683,FL6597,1,"['react', 'live-chat-support']",Migrating legacy systems to AWS cloud infrastructure.
CL1087,FL7587,2,"['market-research', 'technical-writing', '3d-rendering']",Designing RESTful APIs and microservices for SaaS solutions.
CL211,FL8870,1,"['swift', 'creative-writing', 'typescript', 'illustrator']",Migrating legacy systems to AWS cloud infrastructure.
CL363,FL2642,3,"['localization', 'cv', 'lead-generation', 'crm', 'html']",Implementing CI/CD pipelines for enterprise web applications.
CL310,FL807,3,"['bim', 'nosql']",Implementing CI/CD pipelines for enterprise web applications.
CL1631,FL7400,3,"['tax-preparation', 'prompt-engineering']",Building a secure mobile banking app for Android and iOS.
CL946,FL3471,3,"['illustrator', 'node']",Implementing CI/CD pipelines for enterprise web applications.
CL158,FL5848,5,"['aws', 'market-research', 'crm']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1335,FL2676,1,"['ppc', '3d-modeling', 'docker', '3d-rendering']",Migrating legacy systems to AWS cloud infrastructure.
CL923,FL1315,1,"['bookkeeping', 'ocr', 'sql', '3d-rendering']",Developing a scalable e-commerce platform with integrated payment gateways.
CL508,FL3239,3,"['blog-writing', 'customer-support', 'smm']",Implementing CI/CD pipelines for enterprise web applications.
CL1880,FL4034,1,"['typescript', 'video-editing', 'keras', 'bash', 'flask']",Building a secure mobile banking app for Android and iOS.
CL676,FL8720,1,"['data-annotation', 'proofreading', 'tax-preparation', 'photoshop', 'c++']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1194,FL6829,5,"['live-chat-support', 'order-processing', 'ruby', 'payroll']",Migrating legacy systems to AWS cloud infrastructure.
CL1452,FL1806,5,"['branding', 'bim', 'pytorch', 'market-research']",Developing a scalable e-commerce platform with integrated payment gateways.
CL192,FL3686,2,"['localization', 'flask', 'spark', 'angular']",Implementing CI/CD pipelines for enterprise web applications.
CL700,FL1368,1,"['proofreading', 'financial-analysis', 'llm']",Implementing CI/CD pipelines for enterprise web applications.
CL606,FL5521,2,"['affiliate-marketing', 'linux']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1224,FL1975,4,"['machine-learning', '3d-rendering', 'bim']",Implementing CI/CD pipelines for enterprise web applications.
CL90,FL8139,5,"['deep-learning', 'html', 'flask']",Implementing CI/CD pipelines for enterprise web applications.
CL584,FL8154,4,"['order-processing', 'django', 'tax-preparation']",Implementing CI/CD pipelines for enterprise web applications.
CL1852,FL2248,3,"['html', 'adobe-xd', 'photoshop']",Migrating legacy systems to AWS cloud infrastructure.
CL1594,FL8212,1,"['grant-writing', 'ruby', 'devops', 'technical-writing', 'resume-writing']",Implementing CI/CD pipelines for enterprise web applications.
CL1314,FL2655,1,"['lead-generation', 'bim', 'bookkeeping', 'animation']",Implementing CI/CD pipelines for enterprise web applications.
CL1563,FL8978,2,"['bash', 'nosql', 'rust', 'seo']",Migrating legacy systems to AWS cloud infrastructure.
CL1673,FL602,5,"['creative-writing', 'revit', 'autocad', 'deep-learning']",Implementing CI/CD pipelines for enterprise web applications.
CL766,FL2872,3,"['linux', 'logo-design', 'prompt-engineering', 'nosql']",Migrating legacy systems to AWS cloud infrastructure.
CL1907,FL447,4,"['sql', 'pytorch', 'localization', 'payroll']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1426,FL5954,2,"['go', 'bookkeeping', 'linux', 'resume-writing', 'market-research']",Migrating legacy systems to AWS cloud infrastructure.
CL1711,FL7689,3,"['financial-analysis', 'css', 'ruby']",Migrating legacy systems to AWS cloud infrastructure.
CL250,FL3538,1,"['c#', 'aws', 'swift']",Developing a scalable e-commerce platform with integrated payment gateways.
CL228,FL5344,2,"['kubernetes', 'copywriting']",Implementing CI/CD pipelines for enterprise web applications.
CL597,FL3706,2,"['python', 'autocad']",Implementing CI/CD pipelines for enterprise web applications.
CL1169,FL7226,1,"['branding', 'lead-generation', 'indesign']",Implementing CI/CD pipelines for enterprise web applications.
CL1953,FL26,1,"['aws', 'keras']",Designing RESTful APIs and microservices for SaaS solutions.
CL1302,FL6494,1,"['node', 'customer-support', 'go', 'sql']",Implementing CI/CD pipelines for enterprise web applications.
CL707,FL8280,2,"['blog-writing', 'tensorflow']",Migrating legacy systems to AWS cloud infrastructure.
CL91,FL277,4,"['rust', 'nlp', 'adobe-xd', '3d-rendering']",Building a secure mobile banking app for Android and iOS.
CL1294,FL2261,3,"['blog-writing', '3d-modeling', 'ppc']",Migrating legacy systems to AWS cloud infrastructure.
