flancerId,skills,favouriteProject,rating,experience
FL156,"['affiliate-marketing', 'cv', 'bash', 'pytorch', 'lead-generation', 'llm', 'ui-ux']",Developing a scalable e-commerce platform with integrated payment gateways.,3.7,14
FL157,"['docker', 'swift', 'payroll']",Implementing CI/CD pipelines for enterprise web applications.,5.0,11
FL158,"['animation', 'java', 'nlp']",Designing RESTful APIs and microservices for SaaS solutions.,4.5,3
FL159,"['branding', 'payroll', 'nlp', 'data-entry', 'photoshop', 'bookkeeping']",Building a secure mobile banking app for Android and iOS.,3.4,3
FL160,"['market-research', 'c#', 'live-chat-support', 'resume-writing']",Building a secure mobile banking app for Android and iOS.,4.7,7
FL161,"['bookkeeping', 'ppc', 'revit']",Building a secure mobile banking app for Android and iOS.,3.5,13
FL162,"['gcp', 'rust', 'go']",Building a secure mobile banking app for Android and iOS.,4.8,15
FL163,"['flask', 'tensorflow', 'translation']",Migrating legacy systems to AWS cloud infrastructure.,5.0,12
FL164,"['branding', 'tax-preparation', 'revit', 'technical-writing', 'logo-design', 'virtual-assistant']",Migrating legacy systems to AWS cloud infrastructure.,3.6,13
FL165,"['crm', 'crm-support', 'video-editing']",Building a secure mobile banking app for Android and iOS.,4.9,1
FL166,"['ruby', 'copywriting', 'tensorflow', 'adobe-xd', 'flask']",Building a secure mobile banking app for Android and iOS.,4.5,11
FL167,"['animation', 'machine-learning', 'spark']",Developing a scalable e-commerce platform with integrated payment gateways.,4.8,14
FL168,"['financial-analysis', 'ruby', 'excel']",Designing RESTful APIs and microservices for SaaS solutions.,5.0,0
FL169,"['data-annotation', 'keras', 'azure']",Designing RESTful APIs and microservices for SaaS solutions.,4.0,6
FL170,"['blog-writing', 'php', 'virtual-assistant']",Migrating legacy systems to AWS cloud infrastructure.,3.7,7
FL171,"['docker', 'customer-support', 'python', 'machine-learning', 'azure']",Designing RESTful APIs and microservices for SaaS solutions.,3.6,8
FL172,"['nosql', 'financial-analysis', 'c#', 'azure']",Developing a scalable e-commerce platform with integrated payment gateways.,3.6,11
FL173,"['virtual-assistant', 'chatbot', 'c++', 'devops']",Building a secure mobile banking app for Android and iOS.,4.1,1
FL174,"['logo-design', 'editing', 'nosql', 'javascript']",Implementing CI/CD pipelines for enterprise web applications.,4.4,14
FL175,"['creative-writing', 'virtual-assistant', 'sql', 'smm', 'affiliate-marketing']",Migrating legacy systems to AWS cloud infrastructure.,4.4,1
FL176,"['prompt-engineering', 'email-marketing', 'excel', 'c#', 'css', 'lead-generation', '3d-modeling']",Implementing CI/CD pipelines for enterprise web applications.,4.8,3
FL177,"['mechanical-engineering', 'copywriting', 'react', 'node', 'chatbot', 'calendar-management']",Migrating legacy systems to AWS cloud infrastructure.,4.2,2
FL178,"['machine-learning', 'live-chat-support', 'bookkeeping', 'data-entry']",Designing RESTful APIs and microservices for SaaS solutions.,5.0,10
FL179,"['customer-support', 'editing', 'llm', 'email-marketing', 'affiliate-marketing', 'calendar-management']",Implementing CI/CD pipelines for enterprise web applications.,4.0,3
FL180,"['quickbooks', 'blog-writing', 'bim']",Migrating legacy systems to AWS cloud infrastructure.,5.0,13
FL181,"['angular', 'video-editing', 'ui-ux', 'email-marketing', '3d-modeling', 'logo-design']",Developing a scalable e-commerce platform with integrated payment gateways.,4.6,10
FL182,"['speech-recognition', 'tax-preparation', 'pytorch', 'branding', 'kubernetes', 'solidworks']",Implementing CI/CD pipelines for enterprise web applications.,3.6,2
FL183,"['node', 'django', 'seo']",Developing a scalable e-commerce platform with integrated payment gateways.,3.5,11
FL184,"['resume-writing', 'css', 'virtual-assistant', 'data-annotation']",Developing a scalable e-commerce platform with integrated payment gateways.,4.5,13
FL185,"['tax-preparation', 'storyboarding', 'bim', 'html', 'deep-learning']",Designing RESTful APIs and microservices for SaaS solutions.,4.0,9
FL186,"['sql', 'localization', 'affiliate-marketing', 'ruby', 'kubernetes']",Implementing CI/CD pipelines for enterprise web applications.,4.7,7
FL187,"['illustrator', 'resume-writing', 'branding']",Developing a scalable e-commerce platform with integrated payment gateways.,4.5,8
FL188,"['swift', 'storyboarding', 'resume-writing', 'live-chat-support', 'crm-support', 'payroll', 'excel']",Designing RESTful APIs and microservices for SaaS solutions.,4.1,0
FL189,"['financial-analysis', 'autocad', 'cv', 'c#', 'etl', 'revit', 'ocr']",Building a secure mobile banking app for Android and iOS.,3.6,11
FL190,"['etl', 'docker', 'grant-writing']",Implementing CI/CD pipelines for enterprise web applications.,3.1,2
FL191,"['bookkeeping', 'c#', 'django', 'editing']",Migrating legacy systems to AWS cloud infrastructure.,3.9,12
FL192,"['email-marketing', 'ui-ux', 'linux', 'branding', 'ocr', 'bim']",Building a secure mobile banking app for Android and iOS.,4.8,2
FL193,"['kubernetes', 'linux', 'live-chat-support']",Developing a scalable e-commerce platform with integrated payment gateways.,4.3,2
FL194,"['copywriting', 'financial-analysis', 'storyboarding', 'crm', 'calendar-management']",Implementing CI/CD pipelines for enterprise web applications.,3.3,13
FL195,"['ruby', 'creative-writing', 'nosql', 'illustrator', 'seo']",Developing a scalable e-commerce platform with integrated payment gateways.,4.3,9
FL196,"['crm', 'editing', 'tax-preparation', 'ocr', 'rust', 'swift', 'animation']",Designing RESTful APIs and microservices for SaaS solutions.,4.5,1
FL197,"['php', 'prompt-engineering', 'ruby']",Migrating legacy systems to AWS cloud infrastructure.,3.6,8
FL198,"['chatbot', 'aws', 'python', 'content-marketing', 'seo']",Migrating legacy systems to AWS cloud infrastructure.,4.3,4
FL199,"['translation', 'civil-engineering', 'angular', 'affiliate-marketing', 'resume-writing', 'tax-preparation']",Building a secure mobile banking app for Android and iOS.,4.2,2
FL200,"['rust', 'seo', 'c++', 'email-marketing', 'react', 'speech-recognition']",Designing RESTful APIs and microservices for SaaS solutions.,3.4,13
FL201,"['3d-modeling', 'civil-engineering', 'bookkeeping', 'logo-design', 'llm', 'nosql', 'c++']",Building a secure mobile banking app for Android and iOS.,4.5,5
FL202,"['email-marketing', 'autocad', 'adobe-xd', 'django', 'seo', 'sql', 'keras']",Implementing CI/CD pipelines for enterprise web applications.,4.6,12
FL203,"['node', 'animation', 'ocr', 'ui-ux', 'swift', 'data-annotation', 'bash']",Developing a scalable e-commerce platform with integrated payment gateways.,5.0,3
FL204,"['creative-writing', 'spark', 'illustrator', '3d-rendering', 'excel', 'docker', 'tensorflow']",Developing a scalable e-commerce platform with integrated payment gateways.,4.9,4
FL205,"['typescript', 'devops', 'calendar-management', 'kubernetes', 'quickbooks']",Developing a scalable e-commerce platform with integrated payment gateways.,3.2,5
FL206,"['ppc', 'grant-writing', 'data-entry', 'smm', 'solidworks', 'excel']",Designing RESTful APIs and microservices for SaaS solutions.,3.5,10
FL207,"['kubernetes', 'copywriting', 'javascript', 'market-research', 'order-processing']",Building a secure mobile banking app for Android and iOS.,4.6,8
FL208,"['css', 'figma', 'affiliate-marketing', 'react', 'ocr', 'ppc', 'smm']",Developing a scalable e-commerce platform with integrated payment gateways.,4.6,1
FL209,"['deep-learning', 'react', 'excel', 'django', 'crm-support']",Designing RESTful APIs and microservices for SaaS solutions.,4.6,12
FL210,"['data-entry', 'blog-writing', 'rust', 'smm', 'localization', 'quickbooks']",Migrating legacy systems to AWS cloud infrastructure.,5.0,10
